ID,name,normalized_name,price,approximation,weight_unit,weight,quantity_left,category,query_string_ID,market_ID,created_at,updated_at
408888,COOP Rezy Cocos kokosové v kakaov.pol.25g VÝHRADNE,coop rezy cocos kokosove v kakaov.pol.25g vyhradne,0.33,0,NONE,-1,17,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408889,COOP Milesky Rezy s oriešk. náplňou 300g TK,coop milesky rezy s oriesk. naplnou 300g tk,2.69,0,NONE,-1,15,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408890,ORION ŠTUDENTSKÁ PEČAŤ Kokosová oblátka máčaná v bielej čokoláde s kokosovou náplňou 30.5 g,orion studentska pecat kokosova oblatka macana v bielej cokolade s kokosovou naplnou 30.5 g,0.59,0,GRAMS,30.5,26,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408891,ORION ŠTUDENTSKÁ PEČAŤ Pomarančová oblátka máčaná v horkej čokoláde s kakaovou náplňou 31 g,orion studentska pecat pomarancova oblatka macana v horkej cokolade s kakaovou naplnou 31 g,0.59,0,GRAMS,31.0,27,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408892,Sedita Horalky Peanut Butter 50 g,sedita horalky peanut butter 50 g,0.69,0,GRAMS,50.0,421,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408893,Sedita Mila Mini 180 g,sedita mila mini 180 g,3.99,0,GRAMS,180.0,77,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408894,WAFLE TOFFE 220 G,wafle toffe 220 g,2.09,0,NONE,220.0,25,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408895,KitKat Chunky oblátka v bielej poleve 40 g,kitkat chunky oblatka v bielej poleve 40 g,0.59,0,GRAMS,40.0,47,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408896,KitKat 4Finger multipack tyčinka s oblátkou v mliečnej čokoláde 3 x 41.5 g,kitkat 4finger multipack tycinka s oblatkou v mliecnej cokolade 3 x 41.5 g,2.19,0,GRAMS,41.5,1,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408897,Kinder Bueno 3 ks,kinder bueno 3 ks,2.49,0,NONE,3.0,12,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408898,Bahlsen Oblátky polomáčané v mliečnej čokoláde s lieskovoorieškovou náplňou 125 g,bahlsen oblatky polomacane v mliecnej cokolade s lieskovoorieskovou naplnou 125 g,2.69,0,GRAMS,125.0,12,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408899,Bahlsen Oblátkové trubičky polomáčané v mliečnej čokoláde 100 g,bahlsen oblatkove trubicky polomacane v mliecnej cokolade 100 g,2.89,0,GRAMS,100.0,17,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408900,Nesquik Oblátka v mliečnej čokoláde 26 g,nesquik oblatka v mliecnej cokolade 26 g,0.59,0,GRAMS,26.0,36,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408901,KITKAT 4FINGER karamel 41.5 g,kitkat 4finger karamel 41.5 g,0.89,0,GRAMS,41.5,99,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408902,KITKAT 4FINGER dark 41.5 g,kitkat 4finger dark 41.5 g,0.89,0,GRAMS,41.5,61,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408903,Sedita Lina Lieskovo-oriešková 50 g,sedita lina lieskovo-orieskova 50 g,0.75,0,GRAMS,50.0,22,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408904,Sedita Lina Arašidová mliečna 50 g,sedita lina arasidova mliecna 50 g,0.75,0,GRAMS,50.0,291,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408905,Sedita Lina Arašidová horká 50 g,sedita lina arasidova horka 50 g,0.75,0,GRAMS,50.0,91,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
